X,x,Density
1,15647,751.0250476
2,15472,736.5809571
3,15947.857,775.8570803
4,15701.71,755.540683
5,16182.4,795.2157107
6,18834.5,1014.113838
7,17926.5,939.1696433
8,18638.857,997.9659231
9,17363.123,892.6698241
10,18127.709,955.7769633
11,20266.875,1132.338719
12,21147,1204.982177
13,21247.7,1213.293719
14,21440.553,1229.211355
15,20985.2,1191.627584
16,20103.417,1118.847278
17,21230.25,1211.853437
18,21766.917,1256.148675
19,21360.638,1222.615358
20,20718.831,1169.64211
21,20499.769,1151.561245
22,20695.077,1167.68151
23,20571.748,1157.502223
24,20346.5,1138.91078
25,20275.26,1133.030797
26,19589,1076.388503
27,18572.889,992.5210787
28,17698.889,920.383164
29,19031.917,1030.408176
30,18311.95,970.9837843
31,19245.75,1048.057451
32,18568.25,992.1381865
33,18259.375,966.6443668
34,18374.332,976.1326486
35,18388.272,977.2832236
36,20813.125,1177.424916
37,21267.25,1214.907331
38,20435.25,1146.235998
39,21477,1232.219605
40,20740.353,1171.418485
41,18560.1,991.4655046
42,18704.333,1003.370159
43,18631,997.3174247
44,18575.25,992.7159501
45,18604.389,995.121015
46,21765.286,1256.014057
47,19485.381,1067.836033
48,20220.238,1128.48941
49,20425.644,1145.443141
50,18607.575,995.38398
