X,x,Density
1,13318.5,558.8361065
2,13791.75,597.8970541
3,13221,550.7886847
4,12812,517.0307818
5,12243.2,470.0833608
6,13599.5,582.029189
7,12291.6,474.0781836
8,12246.5,470.3557351
9,12974,530.4018827
10,11890.4,440.9640744
11,12683,506.3834237
12,11812,434.4931219
13,12576.6,497.6014167
14,11990.5,449.2260942
15,11875,439.6929945
16,12970,530.0717321
17,12191.333,465.80238
18,12226.75,468.7256163
19,11982,448.5245241
20,11632,419.6363431
21,12455.4,487.5978523
22,11929.4,444.1830432
23,12477,489.3806657
24,11742.5,428.7567545
25,11384,399.1670035
26,15009.556,698.4119115
27,13598.714,581.9643144
28,12665.82,504.9654267
29,12015.773,451.3120685
30,11980.75,448.421352
31,13345.375,561.0543061
32,13018.833,534.1022936
33,12263.5,471.7588753
34,11989.326,449.129195
35,12197.667,466.3251736
36,13765.786,595.7540463
37,12104.286,458.6177244
38,13791,597.8351508
39,12652.896,503.89871
40,12135.446,461.1895978
41,13062.333,537.6926818
42,12475.6,489.265113
43,11946.5,445.5944372
44,11976,448.0292981
45,11259.25,388.8704304
46,12473.25,489.0711495
47,12025.667,452.1286961
48,11211,384.8879883
49,11692.5,424.6298715
50,11419.8,402.1218517
