X,x,Density
1,16686.123,2273.388363
2,17821.874,2510.169913
3,16664.131,2268.803467
4,16825.849,2302.518462
5,17113.486,2362.48507
6,20741.282,3118.808561
7,21596.602,3297.125811
8,22917.01,3572.404683
9,21206.367,3215.769556
10,20770.21,3124.839475
11,27956.596,4623.058379
12,28113.25,4655.71763
13,27008.25,4425.347053
14,26905.987,4404.027246
15,26944.56,4412.068952
16,32660.439,5603.716321
17,31362.561,5333.134508
18,31698.61,5403.194057
19,33388.352,5755.47174
20,31728.598,5409.44596
21,30054.457,5060.420776
22,29953.848,5039.445796
23,29474.391,4939.488524
24,29643.254,4974.693109
25,30339.292,5119.803223
26,35114.38,6115.314334
27,32646.26,5600.760281
28,35493.38,6194.328314
29,36323.459,6367.383317
30,33620.154,5803.797858
31,29986.46,5046.244751
32,30419.32,5136.487473
33,29088.16,4858.967023
34,29340.347,4911.543009
35,28892.874,4818.253766
36,30381.841,5128.673845
37,29737.705,4994.384268
38,29850.136,5017.823901
39,30010.452,5051.246607
40,30294.255,5110.413902
41,35999.391,6299.821569
42,35164.625,6125.789419
43,36115.609,6324.050716
44,35977.239,6295.203316
45,36535.981,6411.689938
46,38635.386,6849.374228
47,37255.727,6561.742699
48,38698.273,6862.48492
49,39747.471,7081.221887
50,38050.48,6727.432932
51,37842.262,6684.02361
52,37792.643,6673.679033
53,38305.119,6780.520111
54,38117.221,6741.347106
55,37821.197,6679.631975
56,35629.5,6222.706634
57,33586.026,5796.682847
58,35738.526,6245.436392
59,34567.685,6001.339272
60,36974.297,6503.070128
61,36544.542,6413.474736
62,35272.792,6148.340093
63,36383.417,6379.883371
64,35988.229,6297.494513
65,35005.482,6092.611261
66,28234.551,4681.006482
67,26385.612,4295.539383
68,27973.449,4626.571895
69,28832.265,4805.617992
70,29825.811,5012.752621
