 ,Mean
1,2.684
2,3.582
3,2.272
4,3.168
5,2.242
6,1979.226
7,1967.862
8,1949.131
9,2096.246
10,2244.238
11,5870.288
12,5843.498
13,5717.410
14,5807.353
15,5817.976
16,14454.273
17,14356.724
18,14425.018
19,14487.786
20,14515.539
21,29087.020
22,28985.184
23,29167.700
24,29143.298
25,29170.378
