 ,Mean
1,25.730
2,10.951
3,13.568
4,30.464
5,35.967
6,3003.596
7,3282.065
8,3249.901
9,3269.448
10,3105.911
11,7074.873
12,7034.075
13,7148.262
14,7330.319
15,7251.367
16,15144.656
17,15035.043
18,14621.072
19,14539.686
20,14652.689
21,28276.034
22,28263.811
23,28291.571
24,28400.660
25,26960.917
