 ,Mean
1,1148.533
2,1158.272
3,1155.053
4,1133.643
5,1098.980
6,3810.065
7,3857.825
8,3959.812
9,3937.234
10,3902.528
11,6352.327
12,6360.956
13,6302.832
14,6283.673
15,6329.645
16,11018.108
17,10978.146
18,11034.853
19,10988.368
20,10927.806
21,18725.071
22,18801.344
23,18821.729
24,18797.770
25,18667.339
