 ,Mean
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,592.671
7,645.041
8,614.481
9,705.013
10,608.905
11,1997.588
12,2092.208
13,2117.422
14,2090.917
15,2044.458
16,8296.425
17,8454.335
18,8268.160
19,8204.838
20,8375.176
21,23687.817
22,23519.106
23,23485.178
24,23794.974
25,23757.590
