 ,Mean
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,1131.072
7,1127.336
8,1265.737
9,1070.849
10,1048.017
11,3453.221
12,3487.351
13,3627.595
14,3419.285
15,3388.805
16,10837.269
17,11012.803
18,10966.134
19,10982.075
20,10988.040
21,25847.671
22,25873.882
23,25839.072
24,25776.976
25,25889.202
