X,x,Density
1,32936.909,5661.354831
2,33828.727,5847.28119
3,34863.75,6063.062951
4,33748.064,5830.464555
5,32182.63,5504.102624
6,40830.286,7306.967332
7,39652.714,7061.466933
8,40130.143,7161.001407
9,36974.112,6503.031559
10,40257.217,7187.493815
11,44121.077,7993.031967
12,47640.556,8726.773512
13,48471.111,8899.927752
14,45876.869,8359.079764
15,45950.015,8374.329254
16,42595.083,7674.892493
17,43726.25,7910.71837
18,49509.571,9116.426059
19,51085.708,9445.019353
20,47613.384,8721.108689
21,47333.75,8662.810548
22,46812.583,8554.157569
23,51145.545,9457.49418
24,48161.801,8835.442753
25,44804.416,8135.494591
26,63489.933,12031.05417
27,62638.688,11853.58647
28,64339.438,12208.15911
29,63072.778,11944.08563
30,64529.452,12247.77326
31,62597.895,11845.08194
32,62663.421,11858.74281
33,62132,11747.95208
34,62912.864,11910.74673
35,63128.878,11955.78136
36,63639.889,12062.31702
37,63082.167,11946.04305
38,64107.158,12159.73333
39,63541.41,12041.7861
40,61708.358,11659.63113
41,61377.455,11590.64442
42,61686.727,11655.12149
43,64740.444,12291.7609
44,64690.676,12281.38526
45,60008.024,11305.14522
46,57264,10733.07066
47,58050.667,10897.07512
48,54714.833,10201.61991
49,58158.1,10919.47277
50,55897.797,10448.24444
