X,x,Density
1,8888.5,433.4186656
2,8679.5,400.8421638
3,8652,396.5557819
4,8443.8,364.1039748
5,8124,314.2572508
6,9202.5,482.3613527
7,8967.3,445.7010979
8,8204.4,326.7890726
9,8196.25,325.5187449
10,8155.7,319.1982801
11,9610.5,545.9556721
12,9235.86,487.5611235
13,8759.2,413.2648776
14,8530.4,377.6021808
15,8343.7,348.5015449
16,9516.1,531.2416923
17,9089.571,464.7592867
18,8958.667,444.3554858
19,8874.942,431.3054015
20,8312.8,343.6852104
21,10613.286,702.2583517
22,9587.44,542.3613461
23,9218.8,484.9020081
24,9009,452.2008115
25,8336.7,347.4104659
26,11472.923,836.2486213
27,10898.769,746.7561387
28,9309.286,499.0059188
29,9124.68,470.2316714
30,8653,396.7116504
31,11482.316,837.7126934
32,10058.4,615.769142
33,9755.233,568.5149776
34,9468.167,523.7704509
35,8962.8,444.99969
36,11731.286,876.5192565
37,10546.778,691.8918541
38,9982.53,603.9434042
39,9662.846,554.114761
40,9226.167,486.0502908
41,10355.25,662.0386854
42,10116.551,624.833047
43,9887.434,589.12094
44,9362.889,507.3609343
45,8934.25,440.5496463
46,10233,642.9837699
47,9836.144,581.1264482
48,9430.2,517.8525942
49,9457.333,522.0817723
50,8966.6,445.59199
