 ,Mean
1,6777.843
2,6779.856
3,6779.362
4,6778.919
5,6780.824
6,7487.671
7,7486.112
8,7485.118
9,7488.844
10,7479.513
11,8093.204
12,8095.782
13,8085.989
14,8078.801
15,8079.550
16,9174.656
17,9183.731
18,9179.131
19,9169.646
20,9169.517
21,11012.662
22,11002.547
23,11015.869
24,11012.758
25,11006.715
