 ,Mean
1,5919.879
2,5913.016
3,5905.565
4,5898.196
5,5891.124
6,6785.907
7,6768.187
8,6759.047
9,6751.086
10,6741.994
11,7518.463
12,7507.903
13,7514.499
14,7530.635
15,7528.709
16,8871.258
17,8876.804
18,8879.812
19,8875.616
20,8863.054
21,11102.193
22,11106.142
23,11114.308
24,11100.898
25,11107.582
