 ,Mean
1,6118.072
2,6181.792
3,6250.776
4,6299.512
5,6320.328
6,7765.761
7,7786.539
8,7828.379
9,7840.098
10,7862.885
11,9007.351
12,9268.784
13,9186.124
14,9187.214
15,9168.202
16,11649.234
17,11657.909
18,11643.302
19,11584.491
20,11579.518
21,16070.348
22,16102.108
23,16043.339
24,16107.776
25,16088.428
