X,x,Density
1,13488,572.8262399
2,14274.523,637.7440077
3,14957.938,694.1514826
4,14622.215,666.4416918
5,13768.869,596.0085099
6,16128.288,790.7494328
7,16241.151,800.0648807
8,15430.288,733.1381462
9,15984.914,778.9156784
10,15646.898,751.0166287
11,15582.935,745.7372724
12,15637.871,750.2715613
13,15665.129,752.5213728
14,15631.909,749.7794718
15,15588.375,746.1862773
16,14998.509,697.500118
17,14310.07,640.6779739
18,14869.754,686.8729816
19,15254.829,718.656171
20,14891.37,688.6571156
21,15640.238,750.4669279
22,15851.667,767.9177828
23,15961.786,777.0067474
24,15824.635,765.6866248
25,15748.856,759.4320035
26,15036.886,700.6676658
27,14927.571,691.6450615
28,14984.514,696.3450034
29,14870.732,686.9537034
30,15044.844,701.3245005
31,16216.426,798.0241371
32,16329.426,807.3508927
33,16368.519,810.5775374
34,16189.425,795.7955377
35,16363.233,810.1412433
36,17463.926,900.9898678
37,17576,910.2401935
38,17870.611,934.556696
39,18037.87,948.3618625
40,17333.543,890.2283601
41,16674.525,835.8345566
42,16594.712,829.2469783
43,16713.593,839.0591379
44,16645.056,833.4022543
45,16569.165,827.1383887
46,16832.2,848.8486821
47,16821.309,847.9497644
48,16464.564,818.5048669
49,16371.312,810.8080651
50,16594.968,829.2681079
51,19749.013,1089.595601
52,19603.64,1077.596854
53,19355.76,1057.137419
54,19709.257,1086.314234
55,19278.815,1050.786559
56,16236.943,799.7175623
57,16430.868,815.723678
58,16216.792,798.0543459
59,16387.986,812.184298
60,16385.786,812.0027152
