 ,Mean
1,5637.363
2,5637.796
3,5637.889
4,5636.666
5,5630.837
6,6239.430
7,6266.495
8,6289.335
9,6298.744
10,6299.305
11,6845.900
12,6842.710
13,6821.320
14,6815.368
15,6829.625
16,7823.595
17,7833.770
18,7822.900
19,7827.934
20,7832.225
21,9533.622
22,9525.458
23,9526.724
24,9530.858
25,9541.301
