 ,Mean
1,8988.641
2,8991.243
3,8994.359
4,8995.963
5,8998.166
6,9724.141
7,9724.978
8,9735.206
9,9719.018
10,9709.267
11,10359.660
12,10379.918
13,10370.482
14,10374.635
15,10363.401
16,11480.652
17,11499.030
18,11529.237
19,11511.345
20,11503.566
21,13465.042
22,13470.985
23,13472.366
24,13474.271
25,13440.455
