 ,Mean
1,5669.627
2,5665.649
3,5660.083
4,5650.698
5,5637.904
6,6089.643
7,6085.332
8,6083.962
9,6082.871
10,6068.512
11,6436.042
12,6435.293
13,6449.559
14,6445.619
15,6439.414
16,7069.621
17,7077.422
18,7089.826
19,7104.127
20,7099.592
21,8192.505
22,8189.232
23,8191.351
24,8189.008
25,8196.007
