 ,Mean
1,8.077
2,8.484
3,8.352
4,9.052
5,9.778
6,3025.929
7,3030.539
8,3074.785
9,3140.404
10,3122.749
11,7929.725
12,8079.404
13,8112.842
14,8031.052
15,7982.226
16,18579.123
17,18543.565
18,18563.072
19,18748.320
20,18560.874
21,37050.843
22,37086.624
23,37173.403
24,37193.864
25,37163.523
